1 0.8993571428571429 0.6779337910310994
2 0.9 0.675506023388264
3 0.8995714285714286 0.67356508613917
4 0.9005000000000001 0.675864550237123
5 0.9002857142857141 0.6798863615908631
6 0.9 0.6814075107054322
7 0.9 0.6814075107054322
8 0.9007142857142856 0.6751509249607024
9 0.9006428571428572 0.6774491022595281
10 0.9004285714285715 0.6797999447994811
11 0.8984285714285715 0.673785130528834
single 0 0.8993571428571429 0.6779337910310994
single 1 0.9 0.675506023388264
single 2 0.8990714285714286 0.6748555906905397
single 3 0.9002857142857144 0.6824336782485702
single 4 0.9012142857142857 0.6787341057768908
single 5 0.9007857142857143 0.6737091248370506
single 6 0.8993571428571429 0.6779337910310994
single 7 0.8995000000000001 0.6717167814583151
single 8 0.8988571428571429 0.6663268908080274
single 9 0.8995000000000001 0.6726102214003549
single 10 0.8993571428571429 0.6779337910310994
